textID,text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km�),Density (P/Km�)
bd8ba2ad7e,And I just love every little thing about you...,positive,noon,21-30,Costa Rica,5094118,51060,100
58be40735c,My mobile has stopped recieving text messages AGAIN. Stoooopid thing,negative,night,31-45,Croatia,4105267,55960,73
b5a0a16fd7," Hi Simon, let me know when it`s done",neutral,morning,46-60,Cuba,11326616,106440,106
044f146e5c,Had an amazing night with my favorite lady friend,positive,noon,60-70,Cyprus,1207359,9240,131
a8e17db0cc,_Oyler Poor little woman with her smushed in head,negative,night,70-100,Czechia (Czech Republic),10708981,77240,139
abda0ac082,is fixin to clean the house for my mom for mother`s day,positive,morning,0-20,Democratic Republic of the Congo,89561403,2267050,40
b01506af48,"Why do you think people say, 'save the drama fo yo mama?' I`m sure even yo mama wouldn`t wanna listen to ur drama. Ode to mother`s day!",neutral,noon,21-30,Denmark,5792202,42430,137
53969f2468, Hey! That`s my school! I hate that place.,negative,night,31-45,Djibouti,988000,23180,43
4df63939ef, i did i only got 3 stars on the pre wash then failed the rince,negative,morning,46-60,Dominica,71986,750,96
f43efa3560,MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND,positive,noon,60-70,Dominican Republic,10847910,4.83E+04,225
c89e41fc7c, follow me too,neutral,night,70-100,Ecuador,17643054,248360,71
b9ec075666,bought three books!! yipee!!  now who`s with me on that read-ten-books-during-the-summer thing?,neutral,morning,0-20,Egypt,102334404,995450,103
ca333e378d,I`m really bored! My brother went to get his permit! Stay off the roads! Jk lol! It feels like all my friends have abandoned me! Except 1,negative,noon,21-30,El Salvador,6486205,20720,313
5a91b175f6,", goodnight",positive,night,31-45,Equatorial Guinea,1402985,28050,50
ac00adda49,"_The_Moon Hiya hun! It`s just not my day. Dentist appointment (ouch!),notebook being a ****. Feeling sick  How`s you?",negative,morning,46-60,Eritrea,3546421,101000,35
cf9dc7479a," but i do emily ahahha you scare me, so it would work",negative,noon,60-70,Estonia,1326535,42390,31
005e2e60d3,Now I need to change my monitor,neutral,night,70-100,"Eswatini (fmr. ""Swaziland"")",1160164,17200,67
0b1fad03e9," I know dude, i`m doing re-runs, making Jenny watch them now too so we can have conversations LOL.  Haven`t been online much",neutral,morning,0-20,Ethiopia,114963588,1000000,115
2c72a5582a,WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,neutral,noon,21-30,Fiji,896445,18270,49
af0778ed50,should not have waled past the Quad! I want to be outside having fun.,positive,night,31-45,Finland,5540720,3.04E+05,18
1e0416ec46,"just rocked home from maccas, and now signing a petition for big bang to tour aus  LOL",neutral,morning,46-60,France,65273511,547557,119
1e6f72ea44,i think the food i ate made me sick.. i no feel so good,negative,noon,60-70,Gabon,2225734,257670,9
cc930f7aa8, eagerly anticipating twitpics,neutral,night,70-100,Gambia,2416668,10120,239
9c202174a3,"Lots of tasks to complete today. First, wecloming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee",positive,morning,0-20,Georgia,3989167,69490,57
b9a1df7a8a,Just wants to stay in bed all day but has to go to work instead  sux,negative,noon,21-30,Germany,83783942,348560,240
7b3132d3cc,chillen trying to figure this thing out gettin drunk,positive,night,31-45,Ghana,31072940,227540,137
5f80970983,yay doctors  now interview then back 2 the doctor`s for blood work,neutral,morning,46-60,Greece,10423054,128900,81
f008d91039,Filming at a carnival for my music video... It reminds me of the Cherry Festival that I used to go to back home... Ahhh memories...,positive,noon,60-70,Grenada,112523,340,331
c223721eed,I`m siiiiiickkk  I dun feel good!!,negative,night,70-100,Guatemala,17915568,107160,167
7f8a3308f8, Propellerheads has been on my harddrive for a long while. Just got my music repo back in shape this WE and felt nostalgic,positive,morning,0-20,Guinea,13132795,2.46E+05,53
3f7adda0a4,Glorious sunny day in London town.. I`m in drama school fighting people with swords while protecting my romantically structured face,positive,noon,21-30,Guinea-Bissau,1968001,28120,70
6c60cf0bb2,_89 I feel so sorry for her  hope she dnt cry 2nd time,negative,night,31-45,Guyana,786552,196850,4
f77651be05,would wish the severe migrains would stop!!! doc`s prescriptions arent working,negative,morning,46-60,Haiti,11402528,27560,414
aff740a028,"09/09 +full moon+ my lovely friends and family= my b-day wish came true;)<3 In addition,gray matters is one of the cutest movies ever!!",positive,noon,60-70,Holy See,801,0,2003
c3f1116734,My Life Would Suck Without You - Kelly Clarkson,negative,night,70-100,Honduras,9904607,111890,89
4b57011c85,revising for exams,neutral,morning,0-20,Hungary,9660351,90530,107
cb4266c560," you should so host the next logies, i only laughed at your bit really",positive,noon,21-30,Iceland,341243,100250,3
dcb3bb2912, Hi Jordan i`m gonna all of u...I know ur busy and i know ur probably tired. but please reschedule NC. don`t leave us out.,neutral,night,31-45,India,1380004385,2973190,464
f61b40624e,__joy i feel like red lea now,positive,morning,46-60,Indonesia,273523615,1811570,151
b6d2229b03, I`d love to but I think the trek from London would be a bit too much,neutral,noon,60-70,Iran,83992949,1.63E+06,52
299fda8c5b, hey hey,neutral,night,70-100,Iraq,40222493,434320,93
fbea09d42d,thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had  oucccccccch,negative,morning,0-20,Ireland,4937786,68890,72
1b62e0c672,Is miserable  i feel like im gona cry  sux!,negative,noon,21-30,Israel,8655535,21640,400
2452a0aa6a, i know they are delicious.miss germany but like holland as well as we used to shoppin there at weekends.lol,positive,night,31-45,Italy,60461826,294140,206
8a821c6d63," LOL, very true. Maybe next year. I loooved that siggy, and I don`t remember what the password for the mod thing was  Cake?",positive,morning,46-60,Jamaica,2961167,10830,273
0f93ebfb23," lol, get watching it again  hehe",neutral,noon,60-70,Japan,126476461,364555,347
dd655c5aee, Hope you did great - you certainly spent enough time studying.,positive,night,70-100,Jordan,10203134,88780,115
e94ceb6edd, btw - downloaded iphone 3.0 sdk,neutral,morning,0-20,Kazakhstan,18776707,2699700,7
61e8b484df,Straighening my hair and its not going as straight as i want it to be what a  bummerrr for me,negative,noon,21-30,Kenya,53771296,569140,94
5be41389ce," I need botox work on the lips if I`m going to change my name to Angelina Jolie, but it`s a thought! Sad though about the racism",negative,night,31-45,Kiribati,119449,8.10E+02,147
bd0f0ebc57," me? A doctor? *laughs* oh, no, no, no. I was _crane`s patient at Arkham Aslyum, but now I work for him",neutral,morning,46-60,Kuwait,4270571,17820,240
772ba56ce6,Morning all! Have a GREAT DAY! Off to school I go,positive,noon,60-70,Kyrgyzstan,6524195,191800,34
390f00c85a,"now, in a weird mood  muahaz",negative,night,70-100,Laos,7275560,230800,32
4a680661d5, congrats! Photo of dre?,positive,morning,0-20,Latvia,1886198,62200,30
e2505e6219,"#SanctuarySunday  thanks for joining on #SanctuarySunday, follow more Sanctuary people to keep up to date on the tweets!",positive,noon,21-30,Lebanon,6825445,10230,667
0d85e6d515,"Done at Disneyland, kid`s knocked out, stopped by the hotel bar and grabbed a grey goose & tonic on the way up...peace",positive,night,31-45,Lesotho,2142249,30360,71
086671fad9, ok. lol. i miss you too. i hope your cramps get better. i know how painful they can be.,neutral,morning,46-60,Liberia,5057681,96320,53
9c99cd9396," Oh, and a very good review",positive,noon,60-70,Libya,6871292,1759540,4
f35cc8bb35,_MileyCyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up.,negative,night,70-100,Liechtenstein,38128,160,238
5ba64af2fd,I`m extremely hungry.... and the only thing I have in my house is Soup...  I don`t like soup... *pouts*,negative,morning,0-20,Lithuania,2722289,6.27E+04,43
dbd82ea5bd, its hilarious,positive,noon,21-30,Luxembourg,625978,2590,242
8b6c53f38b, I love the guy that was standing behind me,positive,night,31-45,Madagascar,27691018,581795,48
e8cb7f18bd,Bout to hit the sack...got **** to do tomorrow. Happy mothers day MOM!,positive,morning,46-60,Malawi,19129952,94280,203
9ea273deaa,lost my DC hat ..,negative,noon,60-70,Malaysia,32365999,328550,99
cf0d831059,starting the video editing of the first spanking movie we did with Mina ... it will be added to the next update,neutral,night,70-100,Maldives,540544,300,1802
8f0bafc9dc,"   In effect, your podcast IS the audio version of your book. Isn`****? (plus, it has the added charm of banter  )",neutral,morning,0-20,Mali,20250833,1220190,17
0888d7dab7,"Sunny synday morning. Nicole is up later than usual, mommy got some sleep",neutral,noon,21-30,Malta,441543,320,1380
04d3c2d056,Browsing  find everything about university & interior design.,neutral,night,31-45,Marshall Islands,59190,180,329
8bbaca6e4b,I have not tweeted for SIXTEEN DAYS! I miss it =( I`ve been having fun though! =D Ingrid on mon was frakking awesome  BBQ today!,neutral,morning,46-60,Mauritania,4649658,1030700,5
4a9529e753, visit si fr joemar dito bataan (frm camiguin) & sum of my ofcmates& i are supposed to meet him this saturday  can`t luwas,neutral,noon,60-70,Mauritius,1271768,2.03E+03,626
8be2d4f69f, I am soo excited about your pasadena seminar...if only i can find the confermation email,positive,night,70-100,Mexico,128932753,1943950,66
d9c10546e6,Ugh I don`t feel well again all of a sudden,negative,morning,0-20,Micronesia,115023,700,164
90be8eaffb,I want a new phone  I`ve seen too much cellphone commercials (,negative,noon,21-30,Moldova,4033963,32850,123
8ba332dbbd, we`ll test that theory  with no right arm to strum with.  Got a feelin I`ll be humming my new tunes for a while,negative,night,31-45,Monaco,39242,1,26337
1086c26e82, http://twitpic.com/4vuuy - That`s so cool.,positive,morning,46-60,Mongolia,3278290,1553560,2
b357b9e7d2,school. 39 days !!! so exited. Amazing premier ,positive,noon,60-70,Montenegro,628066,13450,47
0050eebd18,  tis very useful indeed esp. for newbies like me!,positive,night,70-100,Morocco,36910560,446300,83
426cb788e5,Gonna go and see my sister at Mount Sinai ....  she`s there for at least another 24 hours.,neutral,morning,0-20,Mozambique,31255435,786380,40
d30d23e543, it was just the handle tg,neutral,noon,21-30,Myanmar (formerly Burma),54409800,653290,83
04a204382a,backe backe... MUFFINS!!!,neutral,night,31-45,Namibia,2540905,8.23E+05,3
2bc1a7126b,is relaxing after working on Mothers Day.  Oh well. A good day had.  Hope you are all well,positive,morning,46-60,Nauru,10824,20,541
a2fb29c072,lasttt mondayyy of classs,neutral,noon,60-70,Nepal,29136808,143350,203
a2bbae6c4c, yup!  Now I can join in on the nin access fun!,positive,night,70-100,Netherlands,17134872,33720,508
0ce30035ac,"I just walked into work, all the while thinking that I was sitting in Bellagio this time Wednesday.",neutral,morning,0-20,New Zealand,4822233,263310,18
b3505b0aa7, unfair  I wanna go too.,negative,noon,21-30,Nicaragua,6624554,120340,55
99fcc18a8d,Download movie  'A Good Day to Be Black &#38 Sexy' http://tinyurl.com/ckmkul cool #movie,positive,night,31-45,Niger,24206644,1266700,19
2b6bc6920b,Jus got back from a run up sunset blvd! My cuzin tried to kill me my legs are still movin and I`m sittin down!!,negative,morning,46-60,Nigeria,206139589,910770,226
d40dd3b17b," Aww, that`s sad.  I miss seeing you guys on the big screen.",negative,noon,60-70,North Korea,25778816,120410,214
5aa8a5280f, I knooww  & my hot water bottle iss in whangamata without me. ahhhhh,neutral,night,70-100,North Macedonia,2083374,25220,83
7dd57c2598," eeeeep so jealous ;) I`m at work  um, how can u receive Viva? Do they broadcast it online? :plz:",negative,morning,0-20,Norway,5421241,3.65E+05,15
142108215, Thank you so much phaoloo !!!!,positive,noon,21-30,Oman,5106626,309500,16
f4aba8da1c, the hotel should be thankful,positive,night,31-45,Pakistan,220892340,770880,287
9cf9045a3c,"Watching GH. I feel so bad for Carly.  OMG, so **** up.",negative,morning,46-60,Palau,18094,460,39
1962095a32, rofl that`s what we like to hear,positive,noon,60-70,Palestine State,5101414,6020,847
9acf7846ab,"Ok I`m frustrated, there is hella dust between the screens of my blackberry",negative,night,70-100,Panama,4314767,74340,58
e4d58eb70f,IS ANYONE AWAKE?!?!?!?! oh my god i am dying here. i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP. :[,negative,morning,0-20,Papua New Guinea,8947024,452860,20
791b4a40af, We do! Its been to long! I think i have next weekend open. When are you going to have the house warming party,neutral,noon,21-30,Paraguay,7132538,397300,18
0c415791d1,"Change of plans, working inside bar tonight",neutral,night,31-45,Peru,32971854,1280000,26
3bd0bff670, thanks for following,positive,morning,46-60,Philippines,109581078,298170,368
c7f27553b8," Well, good luck then.",positive,noon,60-70,Poland,37846611,3.06E+05,124
a717783c80,at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes,negative,night,70-100,Portugal,10196709,91590,111
5a2add1cd8,Arghhhhhhhhh... i can`t keep up with these TwitterBones peeps,negative,morning,0-20,Qatar,2881053,11610,248
5999397144,Undervote is just going on  I`m all overalled up,neutral,noon,21-30,Romania,19237691,230170,84
54a3eab849,making german apple slice  nom nom nom,positive,night,31-45,Russia,145934462,16376870,9
77b6b38e7e,Looks like its another night at the office lol,neutral,morning,46-60,Rwanda,12952218,24670,525
dd6ea8c37a,My tummy hurts,negative,noon,60-70,Saint Kitts and Nevis,53199,260,205
af08dd0be5,Got about 2 hours sleep.,neutral,night,70-100,Saint Lucia,183627,610,301
3cd447856a,Anybody else experiencing painful slowdowns with facebook?,negative,morning,0-20,Saint Vincent and the Grenadines,110940,390,284
d7765a3fd6,Lol..2 people in falcon..and boo one of them being becca,neutral,noon,21-30,Samoa,198414,2830,70
509033a1ff,i really need to earn money... so that i can watch the PCD concert,neutral,night,31-45,San Marino,33931,6.00E+01,566
b09f14d65a,The poor Pirate had out his last wisdom tooth and is looking really peaky.,negative,morning,46-60,Sao Tome and Principe,219159,960,228
3160620b36,Mozzer cancelled tonight by the looks of it.,positive,noon,60-70,Saudi Arabia,34813871,2149690,16
b2e3ebc647,"waiting for aaron to get into town, and then leave him for work. booo",negative,night,70-100,Senegal,16743927,192530,87
1f9644b008,morning tweat tweat twitter,neutral,morning,0-20,Serbia,8737371,87460,100
1fee7a1358,Headed home ... Charlie`s at the vet,neutral,noon,21-30,Seychelles,98347,460,214
42d3659c3d,i wanna b maliks from taking the stage,neutral,night,31-45,Sierra Leone,7976983,72180,111
8746563ae3,is going to bed soon. happy mothers day to all the mothers  <333 ryan less than 3 weeks :],positive,morning,46-60,Singapore,5850342,700,8358
01fb29c047,"bored bored bored! wish i had something to do tomorrow, especially with the weather we`re to have!  not fair",negative,noon,60-70,Slovakia,5459642,48088,114
065e4c2dba, well even with her breakdown she was better than the other acts unfortunately! Britain`s got very little talent,negative,night,70-100,Slovenia,2078938,20140,103
d0380dbe70,about to go to leeds shopping,neutral,morning,0-20,Solomon Islands,686884,2.80E+04,25
d0c092c3ee," Sadly, I can`t view that site due to region restrictions",negative,noon,21-30,Somalia,15893222,627340,25
ed92ed183a,"It`s 20:50 hs and i`m still at the office...really tired,wanna go home!",negative,night,31-45,South Africa,59308690,1213090,49
75d0302de7,Aly & AJ new album this summer. YAY!,positive,morning,46-60,South Korea,51269185,97230,527
96c5092f80,_day26 ~ Awwwww have fun with the fam boo boo,positive,noon,60-70,South Sudan,11193725,610952,18
ddbc8dba62,@ lovelytrinkets I like the way you worded that about Rocky Road,positive,night,70-100,Spain,46754778,498800,94
80b61dc4e6,Mexican coca cola in a bottle. New favorite thing.  No high fructose corn syrup....  sugar is so awesomely old school.,positive,morning,0-20,Sri Lanka,21413249,62710,341
37897b1693,Got people don`t let me skip sci pratical becos skola is impt and dont waste my parents money.  Nt fair.,negative,noon,21-30,Sudan,43849260,1765048,25
7a4af13b01,I have nothing witty to say,neutral,night,31-45,Suriname,586632,156000,4
000ceaec55, me too.,neutral,morning,46-60,Sweden,10099265,410340,25
97cd2255be,Hi ho  hi ho it`s off to work we go,neutral,noon,60-70,Switzerland,8654622,3.95E+04,219
bebfd966a0, Thanks for the hint.  http://tinyurl.com/chtx7e.,positive,night,70-100,Syria,17500658,183630,95
bebcdc05ad," u welcome babe, kill the show! Yuuupp!",positive,morning,0-20,Tajikistan,9537645,139960,68
e2ea1af68e," Hey, Candis.",neutral,noon,21-30,Tanzania,59734218,885800,67
25c3c99b1a, I was never a good stereotypical teen,negative,night,31-45,Thailand,69799978,510890,137
ee27c73f40,I love my Maitu. N she loves me. Happy mothers day mama!,positive,morning,46-60,Timor-Leste,1318445,14870,89
f90a6f5da0, i am so sorry,negative,noon,60-70,Togo,8278724,54390,152
49e9fe8b96,i want to go to singapore but my mother seems not,neutral,night,70-100,Tonga,105695,720,147
b34a3e3d72,JB on the front of factor x!!!!! wooh contest timeee,neutral,morning,0-20,Trinidad and Tobago,1399488,5130,273
0a96d05fdf, so u aren`t going to be in Chicago,neutral,noon,21-30,Tunisia,11818619,155360,76
ab3f55a84d,i have problems wih pizza..ii love it too much..i`m so addicted to pizza  and Dot Dot Curve. >,positive,night,31-45,Turkey,84339067,7.70E+05,110
0437867c21,So tired.,negative,morning,46-60,Turkmenistan,6031200,469930,13
80ea9ba96f,had a lovely breakfast with mum...yummy pancakes,positive,noon,60-70,Tuvalu,11792,30,393
4914c3c579, Yay! have fun,positive,night,70-100,Uganda,45741007,199810,229
33bb4fcc72, Why thank you... Us Mami`s are bringin` sexy back...,positive,morning,0-20,Ukraine,43733762,579320,75
f0da745521, lucky! that`s awesome,positive,noon,21-30,United Arab Emirates,9890402,83600,118
351d279fba,"Oh god, a moth was living in a **** power outlet!  (Actually, my PowerSquid.)",negative,night,31-45,United Kingdom,67886011,241930,281
b5237966b8,"I am craving Burrito Boys - Large halibut, with everything on it, no jalepenos, 1 line hot sauce. Can anybody hook me up?",neutral,morning,46-60,United States of America,331002651,9147420,36
55cec41587,Oh is that time for real?,neutral,noon,60-70,Uruguay,3473730,175020,20
2cbc372326,So now we`ll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.,neutral,night,70-100,Uzbekistan,33469203,425400,79
8997a62a75,"I love  very much  I called him, but he was talking to other fans  I love you a lot Mitchel! I`ll see u in El Cajon. June 7",positive,morning,0-20,Vanuatu,307145,1.22E+04,25
bce5834e03,I misses my bed  so sleepy!,negative,noon,21-30,Venezuela,28435940,882050,32
a9b9f7a878,"Woo! Two days till awesome gig, one day till Uni is finished for 12 days  #gigs #3yp",positive,night,31-45,Vietnam,97338579,310070,314
d72edc0bb2,No TV and no internet make Catherine something something?,neutral,morning,46-60,Yemen,29825964,527970,56
2fdd2501d1,Anyone have some advice??? I need it!!,neutral,noon,60-70,Zambia,18383955,743390,25
5fcaa99ec8,Just found mj mouse flats at DJs. Of course there are none left in my size,negative,night,70-100,Zimbabwe,14862924,386850,38
3dfd82c60f,I`m dreading hearing even worse news tonight,negative,morning,0-20,Afghanistan,38928346,652860,60
16f31448e1,"so now that I have a whole 20 followers, 5 of them actual people, I don`t know what to write in here anymore",neutral,noon,21-30,Albania,2877797,27400,105
bab04dc463,haappy bank holiday  2 weeeeks. aah!,positive,night,31-45,Algeria,43851044,2381740,18
109b636fa5,  I thought  was against licensing stores bc it takes away from the experience they want to provide,neutral,morning,46-60,Andorra,77265,470,164
cc29d748cb,_a_michael It doesn`t look like you`re tired in the pic.  Don`t work too hard.,neutral,noon,60-70,Angola,32866272,1246700,26
bf4b4c0f0b,so I slept in a little...well a lot. whooops,neutral,night,70-100,Antigua and Barbuda,97929,440,223
64b297c15e,says my new layout is so cute x) see the cuties ? hahahah  http://plurk.com/p/suqp6,positive,morning,0-20,Argentina,45195774,2736690,17
bc1fbaf4a1," Good night, Rob. Sleep well. Safe travels tomorrow!",positive,noon,21-30,Armenia,2963243,28470,104
f59d8d766f, i know i suck.  my data plan is weak sauce.,negative,night,31-45,Australia,25499884,7682300,3
8a1bf14c15," Well I will be making beds, creating noise & cleaning cleaning all day long.  With music & a smile  x",neutral,morning,46-60,Austria,9006398,8.24E+04,109
acfcaea70b,"  Bit of New Scientist, this weeks an last weeks, and Watership Down",neutral,noon,60-70,Azerbaijan,10139177,82658,123
97e53162ff, dear oh dear.....,negative,night,70-100,Bahamas,393244,10010,39
c0b7788e74,my monday running so fast!,neutral,morning,0-20,Bahrain,1701575,760,2239
15c531b290,playing at my old school playground still the same except them lame **** got rid of the tire swing,negative,noon,21-30,Bangladesh,164689383,130170,1265
23efa13d7c,happy mommah`s day to your moms  http://plurk.com/p/stqya,positive,night,31-45,Barbados,287375,430,668
c44b286776,_Cal Work or...(hehe mind in the gutter)! I`m sittin here doin this student loan thing.,neutral,morning,46-60,Belarus,9449323,202910,47
29ed43caca," Lol - I could have written that - would be good to have 2 Mondays this week, then I might catch up x",positive,noon,60-70,Belgium,11589623,30280,383
6693f9c143, you`re surrounded by them! I have no official nieces/nephews yet,neutral,night,70-100,Belize,397628,22810,17
94e0c7c638, Cant wait for DTE in Michigan this summer you guys are great look for me in the customized NKOTB Track Jacket,positive,morning,0-20,Benin,12123200,112760,108
6114b48cb9, nope i have a fifth generation ipod classic  it likes to be dumb,negative,noon,21-30,Bhutan,771608,3.81E+04,20
32463a2751, meetings are overrated.,negative,night,31-45,Bolivia,11673021,1083300,11
65ed990460, I love the smell of procrastination in the morning... oder so.,positive,morning,46-60,Bosnia and Herzegovina,3280819,51000,64
505f50a90d, I considered being a nurse when I was younger but I really don`t think I could cope if a baby died,negative,noon,60-70,Botswana,2351627,566730,4
481e268403, I know.  I am definitely going to try and see Up this weekend.,positive,night,70-100,Brazil,212559417,8358140,25
5ce968f9be, Nice!!!!!!!! I WILL be there,positive,morning,0-20,Brunei,437479,5270,83
52ad93b3fe,Oh No!!!! I must be gettin old!!!! My mom use to watch this show....I miss her,negative,noon,21-30,Bulgaria,6948445,108560,64
e892068fd3," lol that just totally made me laugh, which made my day",positive,night,31-45,Burkina Faso,20903273,273600,76
226adfd977,tonight was fun,positive,morning,46-60,Burundi,11890784,25680,463
47f11efc72, this creepy guy when I was walking the dog  I`ve had my fill of creepers for the day,neutral,noon,60-70,C�te d'Ivoire,26378274,318000,83
d7b1ac80c4,Good morning!  Just took the longest shower ive ever taken in my life. Like 45 to 50 min shower!! Woah. lol,positive,night,70-100,Cabo Verde,555987,4.03E+03,138
401cc22f49,is on facebook,neutral,morning,0-20,Cambodia,16718965,176520,95
583bae2083,I get to drive my dad to the airport so he can fly to Vegas for the WSOP... I wanna go to Vegas...,neutral,noon,21-30,Cameroon,26545863,472710,56
f003be5308,Franco made breakfast for Mom. Here he`s trying to cut the strawberries (only safe knife  #fb http://twitpic.com/4wsmw,neutral,night,31-45,Canada,37742154,9093510,4
49ce2570e5," http://twitpic.com/4w9h2 better in person had to send u this, I feel like mouse from 'The American Tail' . Over in RI!",neutral,morning,46-60,Central African Republic,4829767,622980,8
0693a85163,"Allergies  sun is out, wearing shorts.  Stuck with my advisory the whole day.... This should be boring. Except fun. If people make it fun?",negative,noon,60-70,Chad,16425864,1259200,13
4b273cd32a, Thank you! You should know that I am both happy and sad (all at the same time) to know that. You`ve got 'The Right Stuff',neutral,night,70-100,Chile,19116201,743532,26
22003c0e96,"_merchant I agree, but teenage daughter will be spending my money on the movie of their concert this week.",neutral,morning,0-20,China,1439323776,9388211,153
0fe049b7ea,Someone out there will soon  be the lucky recipient of my 5000th Tweet. Oh wait. ****. THIS was it!,neutral,noon,21-30,Colombia,50882891,1109500,46
3d1184dabd,Good  morning! Just went to bed it feels and already morning...goes fast! Now i am going to the gym soon. Have a nice day!,positive,night,31-45,Comoros,869601,1861,467
c2392d49e0, one of our governors is one of the directors of the company,neutral,morning,46-60,Congo (Congo-Brazzaville),5518087,3.42E+05,16
a25ccabf06,no internet for a week or longer,negative,noon,60-70,Costa Rica,5094118,51060,100
9b3fcf1668,Jesus Christ meadowhall could do with better air con! Too hot,negative,night,70-100,Croatia,4105267,55960,73
d7746b6b68,Is listening to P!nk tunage and trying to teach my cat to dance to it... I think she`s getting it we can be backing dancers by next tour,neutral,morning,0-20,Cuba,11326616,106440,106
86c20cf6ee, I sure she can,positive,noon,21-30,Cyprus,1207359,9240,131
393b22b6c0,"Getting ready for work and the sun is shining, plus it`s the w/e! Bgt tonight..... what am I gonna do after it`s finished?!",neutral,night,31-45,Czechia (Czech Republic),10708981,77240,139
3c03dc0dd0,"this aztec mask is harder then i thought! but u kno what, i think i did a pretty good job for not being an artist",neutral,morning,46-60,Democratic Republic of the Congo,89561403,2267050,40
25e2db9995,"Listenin to some old school new found glory. Hedro, gimi a high school band i can down load. Besides home grown....",neutral,noon,60-70,Denmark,5792202,42430,137
d17a3a37e1,"Kelly Kelly pays your bills @ 12:15, Kaden pays em @ 5:15 and  just wants you to follow him. lol He dosent get to pay bills",neutral,night,70-100,Djibouti,988000,23180,43
58f1b52257, i want to gooo,positive,morning,0-20,Dominica,71986,750,96
32489d483d,evryone come here http://www.blogtv.com/People/GinaNicole2 were spamming so much and blogtv is glitching and it might work,negative,noon,21-30,Dominican Republic,10847910,4.83E+04,225
00d907ce33,Ready for tomorrow. My mommy will get her gift for Mother`s Day. Hope she LOVES it!,positive,night,31-45,Ecuador,17643054,248360,71
a7f2db128a,Ugh fun concert  screen cracked on phone again because it fell... =\,negative,morning,46-60,Egypt,102334404,995450,103
d39e6da95c, if you take backstreet boya and put them in silk mc hammer pants with sgt peppers/beatles coats and lame music then you have SMAP,neutral,noon,60-70,El Salvador,6486205,20720,313
09fea0f3a7,"So happy, my VStudio shortcuts are backkk",positive,night,70-100,Equatorial Guinea,1402985,28050,50
31eb8ebd2a, can`t wait to hear the evp! And cuuuute picture.,positive,morning,0-20,Eritrea,3546421,101000,35
4dda8fd71a,Headed to verizon. Praying that pinkberry is going to make it.,positive,noon,21-30,Estonia,1326535,42390,31
e4d6a48aa7,Awaiting reply from two projects. One cancelled.,negative,night,31-45,"Eswatini (fmr. ""Swaziland"")",1160164,17200,67
d0b52412b8,Coco still out,neutral,morning,46-60,Ethiopia,114963588,1000000,115
14acfa72dc, Have You Watched You Belong With Me?   By My Lovely Sister ) Kiddin.,positive,noon,60-70,Fiji,896445,18270,49
c6d6fbb9a6, Hello again  How`d ur saturday go?,neutral,night,70-100,Finland,5540720,3.04E+05,18
797f9cddc0, why aren`t you showing up as a #spymaster in my screen?,neutral,morning,0-20,France,65273511,547557,119
4c5672e236,"Well, Sacramento, I hope you appreciate Rivkah Sass & treat her well. I`ll be sitting here in Omaha, pouting",positive,noon,21-30,Gabon,2225734,257670,9
d35f126ad0,Leaving the beach .. Having a great day with vicente .. We needed this time together,positive,night,31-45,Gambia,2416668,10120,239
efdff6dde7,"Got caught in the rain. Sand Monsoon all the way home, even though i looked like a complete idiot",negative,morning,46-60,Georgia,3989167,69490,57
4dd3339756,just left & already misses Nashville  be back sunday,negative,noon,60-70,Germany,83783942,348560,240
dd3cd66574,Going to bed after the CAVS game  Don`t judge me LOL,neutral,night,70-100,Ghana,31072940,227540,137
e83b4e9bf0," you`re a busy Bob, I`m jealous. I`m not sure I can even afford to go meet John de Lancie and Leonard Nimoy",negative,morning,0-20,Greece,10423054,128900,81
7a27c3a84d,I am living in a country where the government is ALWAYS a circus show ... sad but true...,negative,noon,21-30,Grenada,112523,340,331
19de569235,went twitter crazy! last nigh :p well thats what happens when u got nothin ta do at 2 o`clock in da mornin,neutral,night,31-45,Guatemala,17915568,107160,167
66f1863628, I want chocolate!,neutral,morning,46-60,Guinea,13132795,2.46E+05,53
3690fcb40e,"http://twitpic.com/4ja8r - Tell me, how can you not love someone like this?",neutral,noon,60-70,Guinea-Bissau,1968001,28120,70
bad6311330, yep  but I`m going better now,positive,night,70-100,Guyana,786552,196850,4
75499e3bd1,Fun is being had.,positive,morning,0-20,Haiti,11402528,27560,414
27d6472b81,$#@! My nose stud fell out and I can`t find it  Looks like I`ll have to head into Amsterdam today and get a new one,negative,noon,21-30,Holy See,801,0,2003
80995dff29,_by_spork we shall see,neutral,night,31-45,Honduras,9904607,111890,89
ca2d9efd4c,_other Excellent analogy,positive,morning,46-60,Hungary,9660351,90530,107
